,Version 1,Version 2
PyJWT,2.10.1,
Pygments,2.19.1,
aiohappyeyeballs,,2.6.1
aiohttp,,3.11.18
aiosignal,,1.3.2
annotated-types,0.7.0,
appdirs,,1.4.4
astroid,3.3.8,3.3.8
async-timeout,,5.0.1
attrs,,25.3.0
betterproto,2.0.0b6,
certifi,2025.1.31,2025.1.31
cffi,1.17.1,
charset-normalizer,3.4.1,3.4.1
clikit,,0.6.2
cmdstanpy,1.2.5,1.2.5
contourpy,1.3.1,1.3.1
country_converter,1.3,1.3
crashtest,,0.3.1
cryptography,44.0.1,
cycler,0.12.1,0.12.1
dill,0.3.9,0.3.9
dnspython,2.7.0,
email_validator,2.2.0,
fonttools,4.56.0,4.56.0
frozenlist,,1.6.0
grpclib,0.4.7,
h2,4.2.0,
holidays,0.71,0.72
hpack,4.1.0,
httpstan,,4.13.0
hyperframe,6.1.0,
id,1.5.0,
idna,3.10,3.10
importlib-resources,5.13.0,
importlib_resources,,6.5.2
in-toto-attestation,0.9.3,
isort,6.0.0,6.0.0
joblib,1.4.2,
kagglehub,0.3.7,0.3.8
kiwisolver,1.4.8,1.4.8
markdown-it-py,3.0.0,
marshmallow,,3.26.1
matplotlib,3.10.0,3.10.0
mccabe,0.7.0,0.7.0
mdurl,0.1.2,
model-signing,0.2.0,
multidict,6.1.0,6.4.3
narwhals,1.36.0,1.39.0
numpy,2.2.3,2.2.3
packaging,24.2,24.2
pandas,2.2.3,2.2.3
pastel,,0.2.1
pillow,11.1.0,11.1.0
pip,23.0.1,23.0.1
platformdirs,4.3.6,4.3.6
plotly,6.0.1,6.0.1
propcache,,0.3.1
prophet,1.1.6,1.1.6
protobuf,5.29.3,
psycopg2,,2.9.10
psycopg2-binary,2.9.10,2.9.10
py4j,0.10.9.7,0.10.9.7
pyOpenSSL,25.0.0,
pyasn1,0.6.1,
pycparser,2.22,
pydantic,2.10.6,
pydantic_core,2.27.2,
pylev,,1.4.0
pylint,3.3.4,3.3.4
pyparsing,3.2.1,3.2.1
pysimdjson,,6.0.2
pyspark,3.5.4,3.5.4
pystan,,3.10.0
python-dateutil,2.9.0.post0,2.9.0.post0
python-dotenv,1.0.1,1.0.1
pytz,2025.1,2025.1
requests,2.32.3,2.32.3
rfc3161-client,0.1.2,
rfc8785,0.1.4,
rich,13.9.4,
securesystemslib,1.2.0,
setuptools,67.6.1,67.6.1
sigstore,3.6.1,
sigstore-protobuf-specs,0.3.2,
sigstore-rekor-types,0.0.18,
six,1.17.0,1.17.0
stanio,0.5.1,0.5.1
tomli,2.2.1,2.2.1
tomlkit,0.13.2,0.13.2
tqdm,4.67.1,4.67.1
tuf,5.1.0,
typing_extensions,4.12.2,4.12.2
tzdata,2025.1,2025.1
urllib3,2.3.0,2.3.0
webargs,,8.7.0
wheel,0.37.1,0.37.1
yarl,,1.20.0
